USN,p1r1,p1r2,p1r3,p1r4,p1r5,p1r6,p2r1,p2r2,p2r3,p2r4,p2r5,p2r6,p3r1,p3r2,p3r3,p3r4,p3r5,p3r6,p4r1,p4r2,p4r3,p4r4,p4r5,p4r6,p5r1,p5r2,p5r3,p5r4,p5r5,p5r6
1RV22CS197,4,4,5,4,,,4,4,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS198,4,4,6,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS199,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS200,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS201,4,4,4,4,,,4,5,4,4,,,,,,,,,,,,,,,,,,,,
1RV22CS202,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS203,4,4,4,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS204,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS205,4,3,3,3,,,4,3,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS206,4,3,4,3,,,4,3,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS207,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS208,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS209,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS210,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS211,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS212,4,4,4,3,,,4,4,4,3,,,,,,,,,,,,,,,,,,,,
1RV22CS213,4,3,4,3,,,4,3,3,3,,,,,,,,,,,,,,,,,,,,
1RV22CS214,4,4,4,3,,,4,4,4,3,,,,,,,,,,,,,,,,,,,,
1RV22CS215,4,4,4,3,,,4,4,4,3,,,,,,,,,,,,,,,,,,,,
1RV22CS216,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS217,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
